Categoria,Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta correcta
Matematicas,"De acuerdo con los registros de una empresa, se requieren 56 toneladas de naranjas para producir 45 toneladas de concentrado en polvo para preparar jugo. Si este año la empresa tiene como meta producir 66 toneladas de concentrado, ¿cuántas toneladas de naranja requerirán aproximadamente?",55,68.1,75,79.2,D
Matematicas,"Los estudiantes en un curso de matemáticas anotaron en  el pizarrón el número de hermanos que tienen, y al final, el profesor solicitó que obtuvieran el promedio. Las cantidades fueron: 3,5,0,5,2,1,1,2,3,0,1,1 ¿Cuál es el promedio?",2,1.9,1.5,1,A
Matematicas,"Una urna tiene 5 bolas rojas, 6 verdes y 4 blancas. Si se saca una sola de ellas ¿Cuál es la probabilidad de que sea de color  verde?",6/1,5/2,2/5,1/6,C
Matematicas,La  mamá de  Juanita  tiene  en  una  caja  25  monedas  de  $  10  y  15  monedas  de  $  5. ¿Cuál es la probabilidad de que Juanita saque una moneda de $ 10 o una de $ 5? ,10/2,1,5/15,25/4,B
Matematicas,"Si  tuvieras  una  pecera  cuyas  dimensiones  son:  80  x  60  x  70  cm,  en  la  cual  vas  a introducir  peces  pequeños  o  medianos  ¿qué  cantidad  máxima  de  ellos  puedes incluir  en  esta  pecera, si se recomienda un pez mediano o pequeño por cada cuatro litros de agua?",120,84,87,64,B
Matematicas,"Después  de  salir  de  la  escuela  vas  al  trabajo  de  tu  papá  y  te  comenta  que  van  a mandar  un camión cargado con 1.2 toneladas de  naranjas. En  un  supermercado se descargará 45 cajas con 20 Kilos cada una de ellas, y el resto se descargará en una bodega de frutas. ¿Cuántos kilos de naranjas se descargarán en la frutería? ",1200,300,1080,1002,B
Matematicas,"Es el cumpleaños  de un compañero  de tu grupo escolar. Te toco llevar los refrescos  de naranja. Haciendo cálculos te pidieron llevarás 9 litros; sin embargo, por las  prisas  llegaste  a  la  tienda,  donde  sólo  quedaban  botellas  de  250  mililitros. ¿Cuántas botellas de esta última cantidad (250 mililitros) tienes que comprar?",4,90,120,36,D
Matematicas,"Fernanda  se reúne  con  sus amigas  Magdelia,  Mireya,  Frida,  Francisca,  Alicia, Angélica,  Verónica,  Ingrid  y  Rebeca;  el  propósito  de  la  reunión  es  rifar  entre  ellas  algunos utensilios de belleza, Fernanda responsable de la rifa se cuestiona ¿Cuál es la probabilidad de que el nombre de la persona ganadora de la rifa principie con F o N?, ¿qué respuesta seleccionarías? ",3/10,1/2,2/5,7/10,A
Matematicas,Para  fin  de  cursos  se  planeó  regalar  a  los  alumnos  una  bolsa  de  dulces  de  125 gramos. Los padres de familia de tu grupo donaron 5 Kg de caramelos. Tú quieres saber cuántas bolsas se  llenarán con los  5  Kg  para conocer si  se necesitarán más caramelos. ¿Cuántas se llenarán?,20,30,40,50,C
Matematicas,"En un restaurante Jorge López sólo tiene $400 pesos. Quiere dejar una propina de 15 %,  y debe pagar un impuesto de 6 %, Encuentre el precio de la comida más cara que podría ordenar.  ",330,350,316,319,A
Ciencia,Unidad anatómica fundamental de los organismos vivos ,átomo ,célula ,organelo ,tejido ,B
Ciencia,Organelo encargado de producir la mayor parte de la energía de la célula y cuentan con su propio material genético ,ribosoma ,retículo endoplasmico rugoso ,nucleo,mitocondria ,D
Ciencia,Padre de la teoría evolutiva Biológica mediante la selección natural ,Isaac Newton ,Albert Einstein ,Charles Darwin ,Nicolás Copérnico ,C
Ciencia,Célula que no presenta en su interior ningun organelo ,procariota ,eucariota ,animal ,vegetal ,A
Ciencia,¿Cuántos huesos tiene el ser humano? ,203,215,206,300,C
Ciencia,"Ley que establece que todo cuerpo tiende a mantener su estado de reposo o movimiento, hasta que una fuerza externa cambie esa situación ",Ley de la inercia ,Ley de acción y reacción ,Ley de la aceleración ,Ninguna de las anteriores ,A
Ciencia,Organelo fundamental que contiene los cromosomas ,mitocondria ,ribosoma ,lisosoma ,nucleo,D
Ciencia,No es una función del sistema nervioso: ,Transmitir impulsos nerviosos,Realizar el intercambio gaseoso,Controla el funcionamiento de órganos vitales ,Recibe y procesa infromación que viene tanto del interior del cuerpo como del exterior ,B
Ciencia,Ambientes formados por factores bióticos y abióticos: ,habitat ,nicho ,ecosistema,ecología ,C
Ciencia,"Son la base de las cadenas y redes alimentarias, obtienen sus nutrientes de la materia orgánica y energía solar ",descomponedores ,consumidores ,productores ,Ninguna de las anteriores ,C
Lectura ,"¿Que significa ""Embriones de las ideas"" en el siguiente texto? : “Las palabras son los embriones de las ideas. Según qué palabras utilicemos así formaremos nuestro pensamiento”",Ideas pequeñas,Conexiones de las ideas,La manera en que crecen las ideas,El elemento que genera a las ideas,D
Lectura ,"Selecciona el nexo que falta: Con el Renacimiento se augura una nueva etapa en la Historia del Arte, no sólo en Italia, sino en Europa entera __ aquel momento, el arte europeo ofrece una extraordinaria cohesión. ",para,hasta,desde ,en ,C
Lectura ,"Selecciona el sinónimo de la palabra ""acogedora"" en el siguiente texto: ""La  casa  de  mi  abuelo  es  en  verdad  acogedora.  El  brillo  de  sus  pisos  de  madera  se  interrumpe  con  el colorido y la textura de tapetes traídos de Persia. Las paredes son un mosaico de obras de arte en el que se  entreteje la maestría de los pintores de siglos pasados y años recientes""",confortable,calurosa,antigua,interesante,A
Lectura ,"Complete el siguiente fragmento con una oración impersonal típica: ""La semana pasada intentamos visitar el volcán Barva, pero...""",hubo fuertes vientos y aguaceros,llovió desmedidamente en esa zona,anunciaron en las noticias fuertes lluvias,decidimos postergar nuestro viaje por el peligro inminente,B
Lectura ,"Complete el fragmentosiguiente como una oración pasiva con se: ""En ese momento, se...""",sintió muy contento,despidieron sin decir palabra,irrespetó a los mayores de edad,hicieron públicas las nuevas leyes educativas,D
Lectura ,"¿Cuál opción completa el siguiente fragmento como una oración yuxtapuesta? : ""El sol empezaba a calentar...""",cuando abandonamos el sendero,y los pájaros cantaban alegremente,aunque la nieve permanecía intacta,fuertemente; decidí marcharme luego,A
Lectura ,"Complete el siguiente fragmento para formar una oración subordinada sustantiva: ""Los padres ...""",rogaban que los ayudaran,"ni se presentan, ni se comunican",o no se han enterado o no les importa,"piensan analizar la prueba, mientras llega el resultado",B
Lectura ,Sinonimo de Osado ,malcriado ,arrogante ,valiente ,mentiroso,C 
Lectura ,Sinónimo de nimiedad,Bagatela.,Torpeza.,Angustia.,Miedo,A
Lectura ,Sinónimo de divulgar,Dividir,Difundir,Duplicar,Desdichado,B